X,Y,OBJECTID,CODIGO_ACCIDENTADO,FORMULARIO,FECHA_OCURRENCIA_ACC,HORA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,MES_OCURRENCIA_ACC,DIA_OCURRENCIA_ACC,FECHA_HORA_ACC,DIRECCION,CLASE_ACC,LOCALIDAD,CODIGO_VEHICULO,CONDICION,MUERTE_POSTERIOR,FECHA_POSTERIOR_MUERTE,GENERO,EDAD,CONDICION_A
-74.083440552,4.59180601700001,1639761,12835255,A001513006,2022/08/28 05:00:00+00,22:20:00,2022,AGOSTO,DOMINGO,2022/08/29 03:20:00+00,KR 10  - CL 2   57,ATROPELLO,SANTA FE,,PEATON,S,2022/12/09 00:00:00+00,MASCULINO,60,PEATON
-74.034921268,4.81908748000001,1639779,12790699,A001387657,2021/12/21 05:00:00+00,06:34:00,2021,DICIEMBRE,MARTES,2021/12/21 11:34:00+00,AK 45  - CL 243   02,ATROPELLO,USAQUEN,,PEATON,N,,MASCULINO,48,PEATON
-74.141656138,4.60795101299999,1639812,12875113,A001574610,2023/10/05 05:00:00+00,17:14:00,2023,OCTUBRE,JUEVES,2023/10/05 22:14:00+00,AV AVENIDA BOYACA - CL 39 S 02,ATROPELLO,KENNEDY,,PEATON,N,,FEMENINO,86,PEATON
-74.124809184,4.69514579299999,1639813,12849921,A001518391,2023/01/05 05:00:00+00,12:00:00,2023,ENERO,JUEVES,2023/01/05 17:00:00+00,CL 63 - KR 103 A 02,ATROPELLO,ENGATIVA,,PEATON,S,2023/01/16 00:00:00+00,MASCULINO,80,PEATON
-74.128253481,4.565302175,1639828,12732813,A001239843,2021/02/02 05:00:00+00,17:40:00,2021,FEBRERO,MARTES,2021/02/02 22:40:00+00,CL 53  S- KR 15   02,ATROPELLO,TUNJUELITO,,PEATON,S,2021/02/02 05:00:00+00,FEMENINO,77,PEATON
-74.126586107,4.52576349100002,1639835,12735183,A001240751,2021/02/15 05:00:00+00,09:17:00,2021,FEBRERO,LUNES,2021/02/15 14:17:00+00,CL 71 S- KR 3 J 77,ATROPELLO,CIUDAD BOLIVAR,,PEATON,N,,MASCULINO,56,PEATON
-74.104581832,4.71090908799999,1639838,12791782,A001389133,2021/12/25 05:00:00+00,20:30:00,2021,DICIEMBRE,SABADO,2021/12/26 01:30:00+00,KR 95  - CL 83   02,ATROPELLO,ENGATIVA,,PEATON,S,2021/12/26 00:00:00+00,MASCULINO,62,PEATON
-74.094,4.61099999999999,1639852,12840653,A001510351,2022/07/28 05:00:00+00,17:40:00,2022,JULIO,JUEVES,2022/07/28 22:40:00+00,KR 30  - CL 11   02,ATROPELLO,LOS MARTIRES,,PEATON,S,2022/09/19 00:00:00+00,MASCULINO,37,PEATON
-74.074443767,4.668716851,1639854,12827868,A001453069,2022/06/05 05:00:00+00,00:06:00,2022,JUNIO,DOMINGO,2022/06/05 05:06:00+00,AC 72  - KR 51   02,ATROPELLO,BARRIOS UNIDOS,,PEATON,N,,FEMENINO,57,PEATON
-74.100039869,4.68066481099999,1639866,12864516,A001571612,2023/06/09 05:00:00+00,05:15:00,2023,JUNIO,VIERNES,2023/06/09 10:15:00+00,KR 72 - CL 66  02,ATROPELLO,ENGATIVA,,PEATON,S,2023/06/09 05:00:00+00,MASCULINO,53,PEATON
-74.151336985,4.64846850999999,1639872,12738857,A001241304,2021/03/07 05:00:00+00,23:00:00,2021,MARZO,DOMINGO,2021/03/08 04:00:00+00,KR 86 - CL 8 A 02,ATROPELLO,KENNEDY,,PEATON,S,2021/03/16 00:00:00+00,,,PEATON
-74.105835457,4.74029668899999,1639888,12907876,A001676762,2024/08/20 05:00:00+00,22:31:00,2024,AGOSTO,MARTES,2024/08/21 03:31:00+00,KR 118 - CL 134  02,ATROPELLO,SUBA,,PEATON,N,,MASCULINO,67,PEATON
-74.114440531,4.56116773299999,1639890,12856399,A001568219,2023/03/18 05:00:00+00,20:26:00,2023,MARZO,SABADO,2023/03/19 01:26:00+00,TV 9 A - CL 48 D S 02,ATROPELLO,RAFAEL URIBE URIBE,,PEATON,N,,FEMENINO,64,PEATON
